,strata,country,age_gender,employed,tertiary,population,pop_country
467,35,France,9,1,2,1383938,55128895
468,36,France,9,1,1,2043138,55128895
469,37,France,10,2,2,640311,55128895
470,38,France,10,2,1,201380,55128895
471,39,France,10,1,2,1883931,55128895
472,40,France,10,1,1,1724187,55128895
473,41,France,11,2,2,1590691,55128895
474,42,France,11,2,1,410753,55128895
475,43,France,11,1,2,1614650,55128895
476,44,France,11,1,1,843840,55128895
477,45,France,12,2,2,6441162,55128895
478,46,France,12,2,1,1401072,55128895
479,47,France,12,1,2,149887,55128895
480,48,France,12,1,1,85054,55128895
481,1,Germany,1,2,2,1825250,70890171
482,2,Germany,1,2,1,47786,70890171
483,3,Germany,1,1,2,1942513,70890171
484,4,Germany,1,1,1,142368,70890171
485,5,Germany,2,2,2,566286,70890171
486,6,Germany,2,2,1,143989,70890171
487,7,Germany,2,1,2,3004312,70890171
488,8,Germany,2,1,1,1696351,70890171
489,9,Germany,3,2,2,402605,70890171
490,10,Germany,3,2,1,84989,70890171
491,11,Germany,3,1,2,3037233,70890171
492,12,Germany,3,1,1,1772985,70890171
493,13,Germany,4,2,2,462741,70890171
494,14,Germany,4,2,1,84551,70890171
495,15,Germany,4,1,2,3305086,70890171
496,16,Germany,4,1,1,1710479,70890171
497,17,Germany,5,2,2,1180864,70890171
498,18,Germany,5,2,1,314750,70890171
499,19,Germany,5,1,2,3185544,70890171
500,20,Germany,5,1,1,1703269,70890171
501,21,Germany,6,2,2,4935004,70890171
502,22,Germany,6,2,1,2267783,70890171
503,23,Germany,6,1,2,499859,70890171
504,24,Germany,6,1,1,406292,70890171
505,25,Germany,7,2,2,1834914,70890171
506,26,Germany,7,2,1,62195,70890171
507,27,Germany,7,1,2,1552494,70890171
508,28,Germany,7,1,1,201968,70890171
509,29,Germany,8,2,2,827877,70890171
510,30,Germany,8,2,1,260443,70890171
511,31,Germany,8,1,2,2312385,70890171
512,32,Germany,8,1,1,1634690,70890171
513,33,Germany,9,2,2,750421,70890171
514,34,Germany,9,2,1,234708,70890171
515,35,Germany,9,1,2,2664608,70890171
516,36,Germany,9,1,1,1519945,70890171
517,37,Germany,10,2,2,770266,70890171
518,38,Germany,10,2,1,130968,70890171
519,39,Germany,10,1,2,3375398,70890171
520,40,Germany,10,1,1,1250026,70890171
521,41,Germany,11,2,2,1695151,70890171
522,42,Germany,11,2,1,313934,70890171
523,43,Germany,11,1,2,3334746,70890171
524,44,Germany,11,1,1,1112583,70890171
525,45,Germany,12,2,2,8253138,70890171
526,46,Germany,12,2,1,1444752,70890171
527,47,Germany,12,1,2,471402,70890171
528,48,Germany,12,1,1,158269,70890171
529,1,Greece,1,2,2,379886,8923166
530,2,Greece,1,2,1,16416,8923166
531,3,Greece,1,1,2,81864,8923166
532,4,Greece,1,1,1,11110,8923166
533,5,Greece,2,2,2,90087,8923166
534,6,Greece,2,2,1,39833,8923166
535,7,Greece,2,1,2,258925,8923166
536,8,Greece,2,1,1,172541,8923166
537,9,Greece,3,2,2,68178,8923166
538,10,Greece,3,2,1,22940,8923166
539,11,Greece,3,1,2,408197,8923166
540,12,Greece,3,1,1,237096,8923166
541,13,Greece,4,2,2,73727,8923166
542,14,Greece,4,2,1,19221,8923166
543,15,Greece,4,1,2,456373,8923166
544,16,Greece,4,1,1,246532,8923166
545,17,Greece,5,2,2,178575,8923166
546,18,Greece,5,2,1,59042,8923166
547,19,Greece,5,1,2,285540,8923166
548,20,Greece,5,1,1,166005,8923166
549,21,Greece,6,2,2,774534,8923166
550,22,Greece,6,2,1,206806,8923166
551,23,Greece,6,1,2,43316,8923166
552,24,Greece,6,1,1,26773,8923166
553,25,Greece,7,2,2,376838,8923166
554,26,Greece,7,2,1,17392,8923166
555,27,Greece,7,1,2,44496,8923166
556,28,Greece,7,1,1,15004,8923166
557,29,Greece,8,2,2,123547,8923166
558,30,Greece,8,2,1,75159,8923166
559,31,Greece,8,1,2,116746,8923166
560,32,Greece,8,1,1,218280,8923166
561,33,Greece,9,2,2,195879,8923166
562,34,Greece,9,2,1,59886,8923166
563,35,Greece,9,1,2,227231,8923166
564,36,Greece,9,1,1,250784,8923166
565,37,Greece,10,2,2,223817,8923166
566,38,Greece,10,2,1,50939,8923166
567,39,Greece,10,1,2,301060,8923166
568,40,Greece,10,1,1,235231,8923166
569,41,Greece,11,2,2,377723,8923166
570,42,Greece,11,2,1,74428,8923166
571,43,Greece,11,1,2,182812,8923166
572,44,Greece,11,1,1,110674,8923166
573,45,Greece,12,2,2,1148256,8923166
574,46,Greece,12,2,1,134872,8923166
575,47,Greece,12,1,2,29389,8923166
576,48,Greece,12,1,1,9207,8923166
577,1,Hungary,1,2,2,319522,8176657
578,2,Hungary,1,2,1,4907,8176657
579,3,Hungary,1,1,2,129488,8176657
580,4,Hungary,1,1,1,10833,8176657
581,5,Hungary,2,2,2,53090,8176657
582,6,Hungary,2,2,1,9628,8176657
583,7,Hungary,2,1,2,410812,8176657
584,8,Hungary,2,1,1,163935,8176657
585,9,Hungary,3,2,2,45225,8176657
586,10,Hungary,3,2,1,3978,8176657
587,11,Hungary,3,1,2,448038,8176657
588,12,Hungary,3,1,1,205907,8176657
589,13,Hungary,4,2,2,68050,8176657
590,14,Hungary,4,2,1,5015,8176657
591,15,Hungary,4,1,2,529648,8176657
592,16,Hungary,4,1,1,158972,8176657
593,17,Hungary,5,2,2,112479,8176657
594,18,Hungary,5,2,1,14048,8176657
595,19,Hungary,5,1,2,316758,8176657
596,20,Hungary,5,1,1,96075,8176657
597,21,Hungary,6,2,2,545815,8176657
598,22,Hungary,6,2,1,145922,8176657
599,23,Hungary,6,1,2,43060,8176657
600,24,Hungary,6,1,1,27122,8176657
601,25,Hungary,7,2,2,319259,8176657
602,26,Hungary,7,2,1,9896,8176657
603,27,Hungary,7,1,2,91323,8176657
604,28,Hungary,7,1,1,17422,8176657
605,29,Hungary,8,2,2,92600,8176657
606,30,Hungary,8,2,1,23388,8176657
607,31,Hungary,8,1,2,267112,8176657
608,32,Hungary,8,1,1,213231,8176657
609,33,Hungary,9,2,2,80091,8176657
610,34,Hungary,9,2,1,18218,8176657
611,35,Hungary,9,1,2,321095,8176657
612,36,Hungary,9,1,1,260573,8176657
613,37,Hungary,10,2,2,83027,8176657
614,38,Hungary,10,2,1,11413,8176657
615,39,Hungary,10,1,2,439667,8176657
616,40,Hungary,10,1,1,222218,8176657
617,41,Hungary,11,2,2,221856,8176657
618,42,Hungary,11,2,1,45628,8176657
619,43,Hungary,11,1,2,234808,8176657
620,44,Hungary,11,1,1,107080,8176657
621,45,Hungary,12,2,2,984148,8176657
622,46,Hungary,12,2,1,188258,8176657
623,47,Hungary,12,1,2,34055,8176657
624,48,Hungary,12,1,1,21962,8176657
625,1,Ireland,1,2,2,143350,3996084
626,2,Ireland,1,2,1,9703,3996084
627,3,Ireland,1,1,2,113510,3996084
628,4,Ireland,1,1,1,27988,3996084
629,5,Ireland,2,2,2,27848,3996084
630,6,Ireland,2,2,1,14909,3996084
631,7,Ireland,2,1,2,95554,3996084
632,8,Ireland,2,1,1,166009,3996084
633,9,Ireland,3,2,2,23520,3996084
634,10,Ireland,3,2,1,9545,3996084
635,11,Ireland,3,1,2,150991,3996084
636,12,Ireland,3,1,1,190564,3996084
637,13,Ireland,4,2,2,30138,3996084
638,14,Ireland,4,2,1,11476,3996084
639,15,Ireland,4,1,2,149889,3996084
